zip,yr,Age_Adjusted_Rate_of_Asthma_ED_Visit_Rate,county,nZEV,pop,percPoverty,HHincomeMedian,HHincomeMean,EDUCpercHSplus,EDUCpercBAplus
90001,2013,85.1,Los Angeles,2,59832,25.6,43360,54325,47.2,5.6
90001,2014,78.8,Los Angeles,7,59832,25.6,43360,54325,47.2,5.6
90001,2015,74,Los Angeles,15,59832,25.6,43360,54325,47.2,5.6
90001,2016,63.5,Los Angeles,22,59832,25.6,43360,54325,47.2,5.6
90001,2017,67.9,Los Angeles,49,59832,25.6,43360,54325,47.2,5.6
90001,2018,64.9,Los Angeles,68,59832,25.6,43360,54325,47.2,5.6
90001,2019,71.2,Los Angeles,67,59832,25.6,43360,54325,47.2,5.6
90001,2020,34.2,Los Angeles,102,59832,25.6,43360,54325,47.2,5.6
90001,2021,31.6,Los Angeles,148,59832,25.6,43360,54325,47.2,5.6
90001,2022,54.5,Los Angeles,190,59832,25.6,43360,54325,47.2,5.6
90002,2013,79.1,Los Angeles,4,53302,31.4,37285,49724,49.2,6
90002,2014,89.2,Los Angeles,9,53302,31.4,37285,49724,49.2,6
90002,2015,90.9,Los Angeles,11,53302,31.4,37285,49724,49.2,6
90002,2016,82.8,Los Angeles,27,53302,31.4,37285,49724,49.2,6
90002,2017,91.4,Los Angeles,43,53302,31.4,37285,49724,49.2,6
90002,2018,83.6,Los Angeles,48,53302,31.4,37285,49724,49.2,6
90002,2019,90,Los Angeles,81,53302,31.4,37285,49724,49.2,6
90002,2020,44.2,Los Angeles,93,53302,31.4,37285,49724,49.2,6
90002,2021,50.8,Los Angeles,126,53302,31.4,37285,49724,49.2,6
90002,2022,61.2,Los Angeles,190,53302,31.4,37285,49724,49.2,6
90003,2013,88.1,Los Angeles,2,73730,30.1,40598,51181,52.1,5.8
90003,2014,96.4,Los Angeles,2,73730,30.1,40598,51181,52.1,5.8
90003,2015,104.2,Los Angeles,6,73730,30.1,40598,51181,52.1,5.8
90003,2016,95.9,Los Angeles,15,73730,30.1,40598,51181,52.1,5.8
90003,2017,92.3,Los Angeles,35,73730,30.1,40598,51181,52.1,5.8
90003,2018,94.5,Los Angeles,56,73730,30.1,40598,51181,52.1,5.8
90003,2019,99.2,Los Angeles,69,73730,30.1,40598,51181,52.1,5.8
90003,2020,54.1,Los Angeles,84,73730,30.1,40598,51181,52.1,5.8
90003,2021,60.8,Los Angeles,149,73730,30.1,40598,51181,52.1,5.8
90003,2022,77.2,Los Angeles,218,73730,30.1,40598,51181,52.1,5.8
90004,2013,49.5,Los Angeles,66,60541,17.8,49675,84325,74.5,35
90004,2014,43.6,Los Angeles,147,60541,17.8,49675,84325,74.5,35
90004,2015,47.6,Los Angeles,204,60541,17.8,49675,84325,74.5,35
90004,2016,48.3,Los Angeles,305,60541,17.8,49675,84325,74.5,35
90004,2017,48.2,Los Angeles,417,60541,17.8,49675,84325,74.5,35
90004,2018,44.6,Los Angeles,546,60541,17.8,49675,84325,74.5,35
90004,2019,45.9,Los Angeles,667,60541,17.8,49675,84325,74.5,35
90004,2020,22.1,Los Angeles,757,60541,17.8,49675,84325,74.5,35
90004,2021,21.3,Los Angeles,1029,60541,17.8,49675,84325,74.5,35
90004,2022,28.6,Los Angeles,1326,60541,17.8,49675,84325,74.5,35
90005,2013,34.6,Los Angeles,12,39732,26.1,38491,54841,70.4,31.3
